r	sigma
100	-302.0277986
101.010101	-304.074073
102.020202	-304.5780633
103.030303	-303.5397696
104.040404	-300.9591918
105.0505051	-296.8363299
106.0606061	-291.1711839
107.0707071	-283.9637538
108.0808081	-275.2140397
109.0909091	-271.1453474
110.1010101	-268.8739793
111.1111111	-266.506239
112.1212121	-264.0421265
113.1313131	-261.4816418
114.1414141	-258.8247849
115.1515152	-256.0715558
116.1616162	-253.2219544
117.1717172	-249.947419
118.1818182	-246.2764237
119.1919192	-242.5470218
120.2020202	-238.7592132
121.2121212	-234.9129981
122.2222222	-231.0083765
123.2323232	-227.0453482
124.2424242	-223.0239133
125.2525253	-218.9440718
126.2626263	-214.8058238
127.2727273	-210.6091691
128.2828283	-206.3541079
129.2929293	-202.0406401
130.3030303	-197.6687657
131.3131313	-193.2384847
132.3232323	-188.7497971
133.3333333	-184.2027029
134.3434343	-181.055858
135.3535354	-177.9133282
136.3636364	-174.7751135
137.3737374	-171.6412139
138.3838384	-168.5116294
139.3939394	-165.3863601
140.4040404	-162.2654058
141.4141414	-159.1487667
142.4242424	-156.0364426
143.4343434	-152.9284337
144.4444444	-149.8247399
145.4545455	-146.7253612
146.4646465	-143.6302976
147.4747475	-140.5395491
148.4848485	-137.4531158
149.4949495	-134.3709975
150.5050505	-131.4037942
151.5151515	-128.5348282
152.5252525	-125.6479402
153.5353535	-122.7431304
154.5454545	-119.8203987
155.5555556	-116.8797452
156.5656566	-113.9211698
157.5757576	-110.9446725
158.5858586	-107.9502533
159.5959596	-104.9379123
160.6060606	-101.9076494
161.6161616	-98.8594646
162.6262626	-95.79335796
163.6363636	-92.70932944
164.6464646	-89.60737905
165.6565657	-86.48750678
166.6666667	-83.34971265
167.6767677	-80.22881842
168.6868687	-77.14531138
169.6969697	-74.09919152
170.7070707	-71.09045886
171.7171717	-68.11911338
172.7272727	-65.1851551
173.7373737	-62.288584
174.7474747	-59.4294001
175.7575758	-56.60760338
176.7676768	-53.82319385
177.7777778	-51.07617152
178.7878788	-48.36653637
179.7979798	-45.69428841
180.8080808	-43.05942764
181.8181818	-40.46195406
182.8282828	-37.90186767
183.8383838	-35.32056728
184.8484848	-32.72704134
185.8585859	-30.18288717
186.8686869	-27.68810478
187.8787879	-25.24269415
188.8888889	-22.84665531
189.8989899	-20.49998823
190.9090909	-18.20269293
191.9191919	-15.95476941
192.9292929	-13.75621766
193.9393939	-11.60703768
194.9494949	-9.507229473
195.959596	-7.456793043
196.969697	-5.455728387
197.979798	-3.504035504
198.989899	-1.601714396
200	0.2512349389
