r	sigma
100	-272.8424238
101.010101	-276.7156408
102.020202	-279.9997047
103.030303	-282.6946155
104.040404	-284.8003731
105.0505051	-286.3169776
106.0606061	-287.2444291
107.0707071	-287.5827274
108.0808081	-287.3318725
109.0909091	-286.4918646
110.1010101	-285.0627036
111.1111111	-283.0443894
112.1212121	-280.4369221
113.1313131	-277.2403017
114.1414141	-273.4545282
115.1515152	-269.0796016
116.1616162	-264.1155218
117.1717172	-258.6632823
118.1818182	-253.3288427
119.1919192	-248.2131965
120.2020202	-243.3163435
121.2121212	-238.6382838
122.2222222	-234.1790174
123.2323232	-229.9385443
124.2424242	-225.9168645
125.2525253	-222.1062515
126.2626263	-218.3367217
127.2727273	-214.5387364
128.2828283	-210.7122956
129.2929293	-206.8573992
130.3030303	-202.9740474
131.3131313	-199.06224
132.3232323	-195.1219772
133.3333333	-191.1532588
134.3434343	-187.1963892
135.3535354	-183.2916729
136.3636364	-179.4391096
137.3737374	-175.6386995
138.3838384	-171.8904426
139.3939394	-168.1943389
140.4040404	-164.5503883
141.4141414	-160.9585908
142.4242424	-157.419464
143.4343434	-153.9342725
144.4444444	-150.5030738
145.4545455	-147.125868
146.4646465	-143.8026551
147.4747475	-140.533435
148.4848485	-137.3182078
149.4949495	-134.1569735
150.5050505	-131.0438212
151.5151515	-127.943286
152.5252525	-124.8494571
153.5353535	-121.7623345
154.5454545	-118.6819183
155.5555556	-115.6082084
156.5656566	-112.5412048
157.5757576	-109.4809075
158.5858586	-106.4273165
159.5959596	-103.3804319
160.6060606	-100.3402535
161.6161616	-97.30678149
162.6262626	-94.28001578
163.6363636	-91.25995639
164.6464646	-88.24660331
165.6565657	-85.23995655
166.6666667	-82.24001611
167.6767677	-79.25800957
168.6868687	-76.30516451
169.6969697	-73.38148094
170.7070707	-70.48695885
171.7171717	-67.62159825
172.7272727	-64.78539913
173.7373737	-61.9783615
174.7474747	-59.20048536
175.7575758	-56.45177069
176.7676768	-53.73221752
177.7777778	-51.04182583
178.7878788	-48.38059563
179.7979798	-45.74852691
180.8080808	-43.14561968
181.8181818	-40.57187393
182.8282828	-38.02728966
183.8383838	-35.50843374
184.8484848	-32.99470724
185.8585859	-30.48267702
186.8686869	-27.97234308
187.8787879	-25.46370542
188.8888889	-22.95676404
189.8989899	-20.45151893
190.9090909	-17.94797011
191.9191919	-15.44611757
192.9292929	-12.9459613
193.9393939	-10.44750131
194.9494949	-7.950737606
195.959596	-5.455670177
196.969697	-2.962299028
197.979798	-0.4706241571
198.989899	2.019354435
200	4.507636747
