method_idx	err_u_max	err_u_avg	err_sr_max	err_sr_avg	err_st_max	err_st_avg	wall	ndof	nel
1	0.001384213167	0.0004494760205	15.75393498	2.028212457	15.48226824	3.827070748	12.5602896	384	24
2	0.0005385121092	0.0002891403741	56.83583255	5.10202746	72.95363182	5.842709456	21.8968956	384	24
3	0.0004117805307	0.0002060636732	74.73119556	7.676645277	75.53912749	6.717658031	19.1393379	384	24
