r	sigma
100	-282.0223208
101.010101	-285.3616937
102.020202	-288.0763742
103.030303	-290.1663623
104.040404	-291.631658
105.0505051	-292.4722613
106.0606061	-292.6881723
107.0707071	-292.2793908
108.0808081	-291.245917
109.0909091	-289.5877508
110.1010101	-287.3048922
111.1111111	-284.3973412
112.1212121	-280.8650979
113.1313131	-276.7081621
114.1414141	-271.926534
115.1515152	-266.5202135
116.1616162	-260.4892006
117.1717172	-253.9427857
118.1818182	-247.5367109
119.1919192	-241.3802667
120.2020202	-235.4734529
121.2121212	-229.8162696
122.2222222	-224.4087169
123.2323232	-219.2507946
124.2424242	-214.3425029
125.2525253	-209.6838417
126.2626263	-205.2748109
127.2727273	-201.1154107
128.2828283	-197.205641
129.2929293	-193.5455018
130.3030303	-190.1349931
131.3131313	-186.9741149
132.3232323	-184.0628671
133.3333333	-181.40125
134.3434343	-178.8300835
135.3535354	-176.1901879
136.3636364	-173.4815633
137.3737374	-170.7042096
138.3838384	-167.8581269
139.3939394	-164.943315
140.4040404	-161.9597742
141.4141414	-158.9075042
142.4242424	-155.7865052
143.4343434	-152.5967771
144.4444444	-149.3383199
145.4545455	-146.0111336
146.4646465	-142.6152183
147.4747475	-139.150574
148.4848485	-135.6172005
149.4949495	-132.015098
150.5050505	-128.3599724
151.5151515	-124.7460597
152.5252525	-121.1890659
153.5353535	-117.688991
154.5454545	-114.2458349
155.5555556	-110.8595978
156.5656566	-107.5302795
157.5757576	-104.2578802
158.5858586	-101.0423997
159.5959596	-97.88383809
160.6060606	-94.78219538
161.6161616	-91.73747156
162.6262626	-88.74966663
163.6363636	-85.81878058
164.6464646	-82.94481343
165.6565657	-80.12776516
166.6666667	-77.36763577
167.6767677	-74.65131777
168.6868687	-71.96570365
169.6969697	-69.3107934
170.7070707	-66.68658702
171.7171717	-64.09308453
172.7272727	-61.53028591
173.7373737	-58.99819116
174.7474747	-56.49680029
175.7575758	-54.0261133
176.7676768	-51.58613018
177.7777778	-49.17685094
178.7878788	-46.79827557
179.7979798	-44.45040408
180.8080808	-42.13323647
181.8181818	-39.84677273
182.8282828	-37.59101287
183.8383838	-35.35415245
184.8484848	-33.06536489
185.8585859	-30.71284574
186.8686869	-28.29659502
187.8787879	-25.81661272
188.8888889	-23.27289885
189.8989899	-20.66545339
190.9090909	-17.99427636
191.9191919	-15.25936775
192.9292929	-12.46072756
193.9393939	-9.598355787
194.9494949	-6.67225244
195.959596	-3.682417515
196.969697	-0.628851012
197.979798	2.488447069
198.989899	5.669476729
200	8.914237967
