max_level	ndof	nel	wallclock	cpu	err_u_max	err_u_avg	err_sigma_r_max	err_sigma_r_avg	err_sigma_t_max	err_sigma_t_avg
1	135	3	1.3355125	8.921875	0.003629862779	0.0008775946638	119.1910704	11.59557362	118.21196	13.73379646
2	135	3	5.5548308	33.484375	0.004018912393	0.001077922563	28.65053231	7.143114396	27.92020396	9.110308544
3	384	24	17.0470949	118.046875	0.001345500521	0.0004077300442	69.74228307	7.89704413	69.69923721	6.242360165
4	1017	143	135.6025362	991.734375	0.001460579855	0.0004096737477	26.6522014	2.991353992	27.97068739	4.268003288
