r	sigma
100	-71.75078583
101.010101	-72.39569722
102.020202	-72.72911646
103.030303	-72.75104355
104.040404	-72.46147849
105.0505051	-71.86042129
106.0606061	-70.94787194
107.0707071	-69.72383045
108.0808081	-68.18829681
109.0909091	-66.34127102
110.1010101	-64.18275309
111.1111111	-61.71274301
112.1212121	-58.93124078
113.1313131	-55.83824641
114.1414141	-52.43375989
115.1515152	-48.71778122
116.1616162	-44.69031041
117.1717172	-40.35134745
118.1818182	-35.70089235
119.1919192	-30.7389451
120.2020202	-25.4655057
121.2121212	-19.88057415
122.2222222	-13.98415046
123.2323232	-7.776234627
124.2424242	-1.256826644
125.2525253	5.574073485
126.2626263	12.71646576
127.2727273	20.17035018
128.2828283	27.93572675
129.2929293	36.01259547
130.3030303	44.40095633
131.3131313	53.10080934
132.3232323	62.11215449
133.3333333	71.43499179
134.3434343	70.74492884
135.3535354	70.30150471
136.3636364	70.10471939
137.3737374	70.15457289
138.3838384	70.4510652
139.3939394	70.99419633
140.4040404	71.78396627
141.4141414	72.82037504
142.4242424	74.10342261
143.4343434	75.63310901
144.4444444	77.40943422
145.4545455	79.43239824
146.4646465	81.70200108
147.4747475	84.21824274
148.4848485	86.98112321
149.4949495	89.9906425
150.5050505	93.24680061
151.5151515	96.74959753
152.5252525	100.4990333
153.5353535	104.4951078
154.5454545	108.7378212
155.5555556	113.2271734
156.5656566	117.9631644
157.5757576	122.9457942
158.5858586	128.1750628
159.5959596	133.6509703
160.6060606	139.3735165
161.6161616	145.3427016
162.6262626	151.5585255
163.6363636	158.0209882
164.6464646	164.7300898
165.6565657	171.6858301
166.6666667	178.8882093
167.6767677	179.7671269
168.6868687	180.6122398
169.6969697	181.4235481
170.7070707	182.2010517
171.7171717	182.9447506
172.7272727	183.6546448
173.7373737	184.3307344
174.7474747	184.9730193
175.7575758	185.5814995
176.7676768	186.1561751
177.7777778	186.697046
178.7878788	187.2041122
179.7979798	187.6773738
180.8080808	188.1168307
181.8181818	188.5224829
182.8282828	188.8943304
183.8383838	189.2323733
184.8484848	189.5366115
185.8585859	189.807045
186.8686869	190.0436738
187.8787879	190.246498
188.8888889	190.4155175
189.8989899	190.5507323
190.9090909	190.6521425
191.9191919	190.719748
192.9292929	190.7535488
193.9393939	190.753545
194.9494949	190.7197364
195.959596	190.6521233
196.969697	190.5507054
197.979798	190.4154829
198.989899	190.2464556
200	190.0436238
