r	sigma
100	-23.32865512
101.010101	-25.77812391
102.020202	-27.96905644
103.030303	-29.90145268
104.040404	-31.57531265
105.0505051	-32.99063634
106.0606061	-34.14742376
107.0707071	-35.0456749
108.0808081	-35.68538976
109.0909091	-36.06656835
110.1010101	-36.18921066
111.1111111	-36.0533167
112.1212121	-35.65888646
113.1313131	-35.00591994
114.1414141	-34.09441715
115.1515152	-32.92437808
116.1616162	-31.49580274
117.1717172	-29.80869111
118.1818182	-27.86304322
119.1919192	-25.65885904
120.2020202	-23.19613859
121.2121212	-20.47488186
122.2222222	-17.49508886
123.2323232	-14.25675958
124.2424242	-10.75989403
125.2525253	-7.004492196
126.2626263	-2.990554088
127.2727273	1.281920295
128.2828283	5.812930955
129.2929293	10.60247789
130.3030303	15.6505611
131.3131313	20.95718059
132.3232323	26.52233636
133.3333333	32.3460284
134.3434343	38.23714261
135.3535354	44.0045649
136.3636364	49.64829525
137.3737374	55.16833367
138.3838384	60.56468017
139.3939394	65.83733473
140.4040404	70.98629736
141.4141414	76.01156806
142.4242424	80.91314683
143.4343434	85.69103367
144.4444444	90.34522858
145.4545455	94.87573156
146.4646465	99.28254261
147.4747475	103.5656617
148.4848485	107.7250889
149.4949495	111.7608242
150.5050505	115.6728675
151.5151515	119.4612189
152.5252525	123.1258784
153.5353535	126.6668459
154.5454545	130.0841215
155.5555556	133.3777052
156.5656566	136.5475969
157.5757576	139.5937968
158.5858586	142.5163046
159.5959596	145.3151206
160.6060606	147.9902446
161.6161616	150.5416767
162.6262626	152.9694169
163.6363636	155.2734651
164.6464646	157.4538214
165.6565657	159.5104858
166.6666667	161.4434582
167.6767677	163.2742612
168.6868687	165.0244171
169.6969697	166.693926
170.7070707	168.2827878
171.7171717	169.7910026
172.7272727	171.2185703
173.7373737	172.565491
174.7474747	173.8317647
175.7575758	175.0173913
176.7676768	176.1223709
177.7777778	177.1467034
178.7878788	178.0903889
179.7979798	178.9534273
180.8080808	179.7358187
181.8181818	180.4375631
182.8282828	181.0586604
183.8383838	181.5991107
184.8484848	182.0589139
185.8585859	182.4380701
186.8686869	182.7365792
187.8787879	182.9544413
188.8888889	183.0916564
189.8989899	183.1482244
190.9090909	183.1241454
191.9191919	183.0194193
192.9292929	182.8340462
193.9393939	182.5680261
194.9494949	182.2213589
195.959596	181.7940446
196.969697	181.2860833
197.979798	180.697475
198.989899	180.0282196
200	179.2783172
