r	sigma
100	-255.0111398
101.010101	-259.0468629
102.020202	-262.7512289
103.030303	-266.1242377
104.040404	-269.1658894
105.0505051	-271.8761839
106.0606061	-274.2551213
107.0707071	-276.3027015
108.0808081	-278.0189246
109.0909091	-279.4037905
110.1010101	-280.4572993
111.1111111	-281.1794509
112.1212121	-281.5702454
113.1313131	-281.6296827
114.1414141	-281.3577629
115.1515152	-280.7544859
116.1616162	-279.8198518
117.1717172	-278.5538605
118.1818182	-276.9565121
119.1919192	-275.0278066
120.2020202	-272.7677439
121.2121212	-270.176324
122.2222222	-267.253547
123.2323232	-263.9994128
124.2424242	-260.4139215
125.2525253	-256.4970731
126.2626263	-252.2488674
127.2727273	-247.6693047
128.2828283	-242.7583848
129.2929293	-237.5161077
130.3030303	-231.9424735
131.3131313	-226.0374822
132.3232323	-219.8011337
133.3333333	-213.233428
134.3434343	-206.580889
135.3535354	-200.0900403
136.3636364	-193.7608819
137.3737374	-187.5934138
138.3838384	-181.5876361
139.3939394	-175.7435487
140.4040404	-170.0611516
141.4141414	-164.5404449
142.4242424	-159.1814285
143.4343434	-153.9841024
144.4444444	-148.9484667
145.4545455	-144.0745213
146.4646465	-139.3622662
147.4747475	-134.8117015
148.4848485	-130.4228271
149.4949495	-126.195643
150.5050505	-122.1301492
151.5151515	-118.2263458
152.5252525	-114.4842328
153.5353535	-110.90381
154.5454545	-107.4850776
155.5555556	-104.2280355
156.5656566	-101.1326838
157.5757576	-98.19902234
158.5858586	-95.42705126
159.5959596	-92.8167705
160.6060606	-90.36818008
161.6161616	-88.08127999
162.6262626	-85.95607023
163.6363636	-83.99255081
164.6464646	-82.19072171
165.6565657	-80.55058295
166.6666667	-79.07213452
167.6767677	-77.62844073
168.6868687	-76.09256587
169.6969697	-74.46450995
170.7070707	-72.74427297
171.7171717	-70.93185493
172.7272727	-69.02725582
173.7373737	-67.03047566
174.7474747	-64.94151443
175.7575758	-62.76037214
176.7676768	-60.48704879
177.7777778	-58.12154438
178.7878788	-55.6638589
179.7979798	-53.11399236
180.8080808	-50.47194476
181.8181818	-47.7377161
182.8282828	-44.91130638
183.8383838	-41.9927156
184.8484848	-38.98194375
185.8585859	-35.87899084
186.8686869	-32.68385687
187.8787879	-29.39654184
188.8888889	-26.01704574
189.8989899	-22.54536859
190.9090909	-18.98151037
191.9191919	-15.32547109
192.9292929	-11.57725075
193.9393939	-7.736849343
194.9494949	-3.804266877
195.959596	0.2204966504
196.969697	4.33744124
197.979798	8.546566891
198.989899	12.8478736
200	17.24136138
