r	sigma
100	-175.6498869
100.5025126	-175.0438811
101.0050251	-174.3969603
101.5075377	-173.7106842
102.0100503	-172.9865796
102.5125628	-172.2261409
103.0150754	-171.430831
103.5175879	-170.6020822
104.0201005	-169.7412967
104.5226131	-168.8498477
105.0251256	-167.9290796
105.5276382	-166.9803093
106.0301508	-166.0048265
106.5326633	-165.0038945
107.0351759	-163.9787506
107.5376884	-162.9306074
108.040201	-161.8606525
108.5427136	-160.7700498
109.0452261	-159.6599398
109.5477387	-158.5314402
110.0502513	-157.3856465
110.5527638	-156.2236326
111.0552764	-155.0464508
111.5577889	-153.8551334
112.0603015	-152.6506919
112.5628141	-151.4341185
113.0653266	-150.206386
113.5678392	-148.9684486
114.0703518	-147.721242
114.5728643	-146.465684
115.0753769	-145.2026751
115.5778894	-143.9330987
116.080402	-142.6578214
116.5829146	-141.3776936
117.0854271	-140.0935499
117.5879397	-138.8062092
118.0904523	-137.5164754
118.5929648	-136.2251375
119.0954774	-134.93297
119.5979899	-133.6407332
120.1005025	-132.3491738
120.6030151	-131.0590247
121.1055276	-129.7710059
121.6080402	-128.4858243
122.1105528	-127.2041743
122.6130653	-125.9267379
123.1155779	-124.6541851
123.6180905	-123.3871742
124.120603	-122.126352
124.6231156	-120.8723539
125.1256281	-119.6258046
125.6281407	-118.3842343
126.1306533	-117.1510392
126.6331658	-115.9276748
127.1356784	-114.7148243
127.638191	-113.5131648
128.1407035	-112.3233672
128.6432161	-111.1460965
129.1457286	-109.982012
129.6482412	-108.831767
130.1507538	-107.6960095
130.6532663	-106.5737452
131.1557789	-105.4616285
131.6582915	-104.3641883
132.160804	-103.2819195
132.6633166	-102.2153095
133.1658291	-101.1648379
133.6683417	-100.1305181
134.1708543	-99.09797505
134.6733668	-98.06485351
135.1758794	-97.03157248
135.678392	-95.99854483
136.1809045	-94.96617745
136.6834171	-93.93487133
137.1859296	-92.90502166
137.6884422	-91.877018
138.1909548	-90.85124432
138.6934673	-89.82807916
139.1959799	-88.80789571
139.6984925	-87.79106191
140.201005	-86.77794056
140.7035176	-85.76888942
141.2060302	-84.76426129
141.7085427	-83.76440413
142.2110553	-82.76966114
142.7135678	-81.78037082
143.2160804	-80.79686711
143.718593	-79.81947946
144.2211055	-78.84853288
144.7236181	-77.88434806
145.2261307	-76.92724147
145.7286432	-75.97752536
146.2311558	-75.03550793
146.7336683	-74.10149335
147.2361809	-73.17578185
147.7386935	-72.2586698
148.241206	-71.35044977
148.7437186	-70.45141061
149.2462312	-69.56183751
149.7487437	-68.68201208
150.2512563	-67.8122124
150.7537688	-66.95271311
151.2562814	-66.10378544
151.758794	-65.2656973
152.2613065	-64.43871333
152.7638191	-63.62309497
153.2663317	-62.81910049
153.7688442	-62.02588431
154.2713568	-61.24324856
154.7738693	-60.4728796
155.2763819	-59.71503219
155.7788945	-58.96995918
156.281407	-58.23791149
156.7839196	-57.51913822
157.2864322	-56.81388661
157.7889447	-56.1224021
158.2914573	-55.44492836
158.7939698	-54.7817073
159.2964824	-54.13297913
159.798995	-53.49898235
160.3015075	-52.87995379
160.8040201	-52.27612867
161.3065327	-51.68774055
161.8090452	-51.11502145
162.3115578	-50.55820177
162.8140704	-50.01751043
163.3165829	-49.49317477
163.8190955	-48.98542069
164.321608	-48.49447259
164.8241206	-48.02055342
165.3266332	-47.56388471
165.8291457	-47.1246866
166.3316583	-46.70317781
166.8341709	-46.02270379
167.3366834	-44.80556951
167.839196	-43.60509623
168.3417085	-42.42134623
168.8442211	-41.25438084
169.3467337	-40.10426044
169.8492462	-38.97104451
170.3517588	-37.85479163
170.8542714	-36.75555948
171.3567839	-35.67340485
171.8592965	-34.60838369
172.361809	-33.56055108
172.8643216	-32.52996127
173.3668342	-31.51666766
173.8693467	-30.52072287
174.3718593	-29.54217868
174.8743719	-28.5810861
175.3768844	-27.63749535
175.879397	-26.71145588
176.3819095	-25.80301638
176.8844221	-24.9122248
177.3869347	-24.03912834
177.8894472	-23.18377349
178.3919598	-22.34620599
178.8944724	-21.5264709
179.3969849	-20.72461259
179.8994975	-19.94067472
180.4020101	-19.17470027
180.9045226	-18.42673158
181.4070352	-17.6968103
181.9095477	-16.98497744
182.4120603	-16.29127339
182.9145729	-15.61573787
183.4170854	-14.95841001
183.919598	-14.3193283
184.4221106	-13.69853063
184.9246231	-13.09605431
185.4271357	-12.51193603
185.9296482	-11.94621192
186.4321608	-11.39891752
186.9346734	-10.87008781
187.4371859	-10.35975722
187.9396985	-9.867959615
188.4422111	-9.394728315
188.9447236	-8.94009611
189.4472362	-8.504095256
189.9497487	-8.086757488
190.4522613	-7.688114023
190.9547739	-7.308195569
191.4572864	-6.947032332
191.959799	-6.604654021
192.4623116	-6.281089855
192.9648241	-5.976368571
193.4673367	-5.690518429
193.9698492	-5.423567215
194.4723618	-5.175542255
194.9748744	-4.946470413
195.4773869	-4.736378101
195.9798995	-4.545291284
196.4824121	-4.373235485
196.9849246	-4.220235793
197.4874372	-4.086316864
197.9899497	-3.971502932
198.4924623	-3.87581781
198.9949749	-3.799284897
199.4974874	-3.741927185
200	-3.703767261
