r	sigma
100	93.39458611
100.5025126	94.88899718
101.0050251	96.37450464
101.5075377	97.85032541
102.0100503	99.31572475
102.5125628	100.7700151
103.0150754	102.2125548
103.5175879	103.6427471
104.0201005	105.0600393
104.5226131	106.4639212
105.0251256	107.8539244
105.5276382	109.2296211
106.0301508	110.5906235
106.5326633	111.9365826
107.0351759	113.2671871
107.5376884	114.582163
108.040201	115.8812723
108.5427136	117.1658283
109.0452261	118.4483401
109.5477387	119.7308015
110.0502513	121.0122181
110.5527638	122.2916272
111.0552764	123.5680978
111.5577889	124.8407297
112.0603015	126.1086526
112.5628141	127.371026
113.0653266	128.6260339
113.5678392	129.870883
114.0703518	131.1085139
114.5728643	132.3379405
115.0753769	133.5581954
115.5778894	134.7683293
116.080402	135.9674103
116.5829146	137.1545239
117.0854271	138.3332136
117.5879397	139.5107403
118.0904523	140.6863628
118.5929648	141.8591758
119.0954774	143.0282876
119.5979899	144.1928199
120.1005025	145.3437754
120.6030151	146.4873364
121.1055276	147.6244776
121.6080402	148.7550118
122.1105528	149.8787688
122.6130653	150.9955955
123.1155779	152.1053554
123.6180905	153.2079283
124.120603	154.3032097
124.6231156	155.3911111
125.1256281	156.4622184
125.6281407	157.5245608
126.1306533	158.5944563
126.6331658	159.6711576
127.1356784	160.7539292
127.638191	161.8420473
128.1407035	162.9347998
128.6432161	164.0314861
129.1457286	165.1314168
129.6482412	166.2339138
130.1507538	167.3383097
130.6532663	168.4439483
131.1557789	169.5501839
131.6582915	170.6563811
132.160804	171.7619151
132.6633166	172.8558283
133.1658291	173.9278182
133.6683417	174.9917167
134.1708543	176.0425563
134.6733668	177.0800768
135.1758794	178.1043989
135.678392	179.1156521
136.1809045	180.1139739
136.6834171	181.0995106
137.1859296	182.0724162
137.6884422	183.032853
138.1909548	183.9809908
138.6934673	184.9170074
139.1959799	185.8410879
139.6984925	186.7534251
140.201005	187.6542188
140.7035176	188.543676
141.2060302	189.422011
141.7085427	190.2895157
142.2110553	191.1581644
142.7135678	192.0365513
143.2160804	192.9246351
143.718593	193.8223812
144.2211055	194.7297613
144.7236181	195.6467531
145.2261307	196.5733405
145.7286432	197.5095135
146.2311558	198.4552679
146.7336683	199.4106052
147.2361809	200.3755328
147.7386935	201.3500636
148.241206	202.3342158
148.7437186	203.3280133
149.2462312	204.3314853
149.7487437	205.344666
150.2512563	206.3654832
150.7537688	207.380639
151.2562814	208.386353
151.758794	209.3808869
152.2613065	210.3625074
152.7638191	211.3294863
153.2663317	212.2685829
153.7688442	213.1700607
154.2713568	214.051465
154.7738693	214.9124813
155.2763819	215.7528054
155.7788945	216.5721433
156.281407	217.3702107
156.7839196	218.1467328
157.2864322	218.9014433
157.7889447	219.6340849
158.2914573	220.3444081
158.7939698	221.0321712
159.2964824	221.6971398
159.798995	222.3390862
160.3015075	222.916244
160.8040201	223.4176672
161.3065327	223.875755
161.8090452	224.2888561
162.3115578	224.6553228
162.8140704	224.973511
163.3165829	225.2417802
163.8190955	225.4584932
164.321608	225.6220166
164.8241206	225.73072
165.3266332	225.7829766
165.8291457	225.7771628
166.3316583	225.7116583
166.8341709	225.5854591
167.3366834	225.4060013
167.839196	225.1774938
168.3417085	224.9019646
168.8442211	224.5814441
169.3467337	224.2179654
169.8492462	223.813564
170.3517588	223.3702781
170.8542714	222.8901483
171.3567839	222.3752173
171.8592965	221.8275308
172.361809	221.2491362
172.8643216	220.6420836
173.3668342	220.0084254
173.8693467	219.3502161
174.3718593	218.6695125
174.8743719	217.9683734
175.3768844	217.2488601
175.879397	216.5130357
176.3819095	215.7629656
176.8844221	215.0007172
177.3869347	214.2283598
177.8894472	213.447965
178.3919598	212.6616061
178.8944724	211.8713585
179.3969849	211.0792995
179.8994975	210.2875083
180.4020101	209.4980658
180.9045226	208.713055
181.4070352	207.9345606
181.9095477	207.1646691
182.4120603	206.4054688
182.9145729	205.6590496
183.4170854	204.9276821
183.919598	204.2208309
184.4221106	203.5417373
184.9246231	202.8887392
185.4271357	202.2601749
185.9296482	201.6543831
186.4321608	201.0697032
186.9346734	200.504475
187.4371859	199.9570389
187.9396985	199.4257356
188.4422111	198.9089063
188.9447236	198.404893
189.4472362	197.9120377
189.9497487	197.4286832
190.4522613	196.9531725
190.9547739	196.4838494
191.4572864	196.0190578
191.959799	195.5571422
192.4623116	195.0964475
192.9648241	194.635319
193.4673367	194.1721024
193.9698492	193.705144
194.4723618	193.2327903
194.9748744	192.7533882
195.4773869	192.2652852
195.9798995	191.766829
196.4824121	191.2563678
196.9849246	190.7322501
197.4874372	190.1928248
197.9899497	189.6364413
198.4924623	189.0614492
198.9949749	188.4661985
199.4974874	187.8490396
200	187.2083233
