r	sigma
100	-183.5094835
100.5025126	-182.0362176
101.0050251	-180.5596431
101.5075377	-179.0822824
102.0100503	-177.606637
102.5125628	-176.1351882
103.0150754	-174.6703977
103.5175879	-173.2147077
104.0201005	-171.770542
104.5226131	-170.3403058
105.0251256	-168.9263866
105.5276382	-167.5311541
106.0301508	-166.1569615
106.5326633	-164.8061448
107.0351759	-163.4810242
107.5376884	-162.1839037
108.040201	-160.917072
108.5427136	-159.6792297
109.0452261	-158.4417564
109.5477387	-157.1990596
110.0502513	-155.9524851
110.5527638	-154.7033652
111.0552764	-153.4530184
111.5577889	-152.2027502
112.0603015	-150.9538533
112.5628141	-149.7076075
113.0653266	-148.4642574
113.5678392	-147.2230151
114.0703518	-145.9888943
114.5728643	-144.7628648
115.0753769	-143.5458782
115.5778894	-142.3388682
116.080402	-141.1427513
116.5829146	-139.9584271
117.0854271	-138.7823561
117.5879397	-137.6072858
118.0904523	-136.4339243
118.5929648	-135.2631442
119.0954774	-134.0958058
119.5979899	-132.9327582
120.1005025	-131.7666778
120.6030151	-130.6054762
121.1055276	-129.4517929
121.6080402	-128.3070743
122.1105528	-127.1727592
122.6130653	-126.0502792
123.1155779	-124.9410589
123.6180905	-123.8465158
124.120603	-122.7680605
124.6231156	-121.707097
125.1256281	-120.6543773
125.6281407	-119.5884953
126.1306533	-118.5144615
126.6331658	-117.4329883
127.1356784	-116.3447784
127.638191	-115.2505249
128.1407035	-114.1509117
128.6432161	-113.0466139
129.1457286	-111.9382979
129.6482412	-110.8266221
130.1507538	-109.7122363
130.6532663	-108.5957828
131.1557789	-107.4778963
131.6582915	-106.3592041
132.160804	-105.2403263
132.6633166	-104.1119064
133.1658291	-102.9652787
133.6683417	-101.8198268
134.1708543	-100.6874194
134.6733668	-99.56974869
135.1758794	-98.46764786
135.678392	-97.38194637
136.1809045	-96.31347008
136.6834171	-95.26304127
137.1859296	-94.23147879
137.6884422	-93.21959802
138.1909548	-92.22821103
138.6934673	-91.25812655
139.1959799	-90.31015011
139.6984925	-89.38508404
140.201005	-88.48372757
140.7035176	-87.60687682
141.2060302	-86.75532496
141.7085427	-85.92969618
142.2110553	-85.10316725
142.7135678	-84.25618337
143.2160804	-83.38922859
143.718593	-82.5027842
144.2211055	-81.59732878
144.7236181	-80.67333826
145.2261307	-79.73128593
145.7286432	-78.77164254
146.2311558	-77.7948763
146.7336683	-76.80145295
147.2361809	-75.79183578
147.7386935	-74.76648568
148.241206	-73.72586119
148.7437186	-72.67041854
149.2462312	-71.60061166
149.7487437	-70.51689227
150.2512563	-69.42452378
150.7537688	-68.35236629
151.2562814	-67.30447571
151.758794	-66.28003955
152.2613065	-65.27824313
152.7638191	-64.29826965
153.2663317	-63.32910575
153.7688442	-62.36293071
154.2713568	-61.41601278
154.7738693	-60.48875158
155.2763819	-59.58153737
155.7788945	-58.69475114
156.281407	-57.82876475
156.7839196	-56.98394109
157.2864322	-56.16063421
157.7889447	-55.35918961
158.2914573	-54.57994436
158.7939698	-53.82322747
159.2964824	-53.08936006
159.798995	-52.37865575
160.3015075	-51.65586935
160.8040201	-50.91236847
161.3065327	-50.17651051
161.8090452	-49.4474457
162.3115578	-48.72432272
162.8140704	-48.00628867
163.3165829	-47.29248917
163.8190955	-46.58206831
164.321608	-45.87416872
164.8241206	-45.16793158
165.3266332	-44.46249663
165.8291457	-43.75700221
166.3316583	-43.05058526
166.8341709	-42.34102094
167.3366834	-41.61063132
167.839196	-40.85583642
168.3417085	-40.07871508
168.8442211	-39.28134505
169.3467337	-38.46580293
169.8492462	-37.63416429
170.3517588	-36.78850358
170.8542714	-35.93089423
171.3567839	-35.06340862
171.8592965	-34.18811811
172.361809	-33.30709306
172.8643216	-32.42240282
173.3668342	-31.53611577
173.8693467	-30.65029934
174.3718593	-29.76701998
174.8743719	-28.88834323
175.3768844	-28.01633368
175.879397	-27.15305505
176.3819095	-26.30057012
176.8844221	-25.46094081
177.3869347	-24.63622816
177.8894472	-23.82849236
178.3919598	-23.03979273
178.8944724	-22.27218778
179.3969849	-21.52773519
179.8994975	-20.8084918
180.4020101	-20.1165137
180.9045226	-19.45385614
181.4070352	-18.82257362
181.9095477	-18.22471986
182.4120603	-17.66234783
182.9145729	-17.13750976
183.4170854	-16.65183051
183.919598	-16.18694389
184.4221106	-15.73114258
184.9246231	-15.28297924
185.4271357	-14.84100632
185.9296482	-14.40377602
186.4321608	-13.96984035
186.9346734	-13.53775108
187.4371859	-13.10605979
187.9396985	-12.67331785
188.4422111	-12.2380764
188.9447236	-11.79888641
189.4472362	-11.35429864
189.9497487	-10.90286363
190.4522613	-10.44313175
190.9547739	-9.97365317
191.4572864	-9.492977871
191.959799	-8.999655642
192.4623116	-8.492236092
192.9648241	-7.969268644
193.4673367	-7.429302544
193.9698492	-6.870886856
194.4723618	-6.292570473
194.9748744	-5.692902111
195.4773869	-5.070430316
195.9798995	-4.423703466
196.4824121	-3.751269771
196.9849246	-3.051677276
197.4874372	-2.323473866
197.9899497	-1.565207264
198.4924623	-0.775425032
198.9949749	0.04732542028
199.4974874	0.9044968399
200	1.797542126
