r	sigma
100	101.4578735
100.5025126	102.0404017
101.0050251	102.6649668
101.5075377	103.3300129
102.0100503	104.034013
102.5125628	104.7754688
103.0150754	105.5529103
103.5175879	106.3648949
104.0201005	107.2100073
104.5226131	108.0868587
105.0251256	108.9940864
105.5276382	109.9303533
106.0301508	110.8943474
106.5326633	111.8847811
107.0351759	112.900391
107.5376884	113.9399372
108.040201	115.0022029
108.5427136	116.0859938
109.0452261	117.1901376
109.5477387	118.3134837
110.0502513	119.4549025
110.5527638	120.6132851
111.0552764	121.7875429
111.5577889	122.9766067
112.0603015	124.1794269
112.5628141	125.3949724
113.0653266	126.6222308
113.5678392	127.8602075
114.0703518	129.0928688
114.5728643	130.2788231
115.0753769	131.4720907
115.5778894	132.6719435
116.080402	133.8776766
116.5829146	135.0886075
117.0854271	136.3040755
117.5879397	137.5234416
118.0904523	138.7460874
118.5929648	139.9714156
119.0954774	141.1988487
119.5979899	142.4278289
120.1005025	143.6578178
120.6030151	144.8882959
121.1055276	146.1187623
121.6080402	147.3487339
122.1105528	148.5777458
122.6130653	149.80535
123.1155779	151.031116
123.6180905	152.2546297
124.120603	153.4754933
124.6231156	154.6933253
125.1256281	155.9077596
125.6281407	157.1184458
126.1306533	158.3250481
126.6331658	159.5272461
127.1356784	160.7247333
127.638191	161.9172177
128.1407035	163.1044213
128.6432161	164.2860795
129.1457286	165.4619413
129.6482412	166.6317687
130.1507538	167.7953365
130.6532663	168.9524324
131.1557789	170.1028563
131.6582915	171.2464201
132.160804	172.382948
132.6633166	173.5122754
133.1658291	174.6342497
133.6683417	175.7513547
134.1708543	176.8716505
134.6733668	177.9949473
135.1758794	179.120394
135.678392	180.2471486
136.1809045	181.3743778
136.6834171	182.501257
137.1859296	183.6269697
137.6884422	184.7215964
138.1909548	185.7321705
138.6934673	186.7395719
139.1959799	187.7433504
139.6984925	188.7430644
140.201005	189.7382802
140.7035176	190.7285727
141.2060302	191.7135243
141.7085427	192.6927259
142.2110553	193.6657757
142.7135678	194.6322799
143.2160804	195.5918523
143.718593	196.5441138
144.2211055	197.488693
144.7236181	198.4252256
145.2261307	199.3533541
145.7286432	200.2727281
146.2311558	201.1830041
146.7336683	202.083845
147.2361809	202.9749203
147.7386935	203.8559058
148.241206	204.7264836
148.7437186	205.5863418
149.2462312	206.4351744
149.7487437	207.2726813
150.2512563	208.098568
150.7537688	208.9125455
151.2562814	209.71433
151.758794	210.5036433
152.2613065	211.2802119
152.7638191	212.0437675
153.2663317	212.7940466
153.7688442	213.5307901
154.2713568	214.2537439
154.7738693	214.9626579
155.2763819	215.6572865
155.7788945	216.3373881
156.281407	217.0027252
156.7839196	217.6530642
157.2864322	218.2881752
157.7889447	218.907832
158.2914573	219.5118117
158.7939698	220.0998949
159.2964824	220.6718655
159.798995	221.2275104
160.3015075	221.5374748
160.8040201	221.8135208
161.3065327	222.0567461
161.8090452	222.2666095
162.3115578	222.4425735
162.8140704	222.5841041
163.3165829	222.6906707
163.8190955	222.7617463
164.321608	222.7968074
164.8241206	222.7953335
165.3266332	222.7568078
165.8291457	222.6807165
166.3316583	222.5665489
166.8341709	222.414317
167.3366834	222.2306484
167.839196	222.0183119
168.3417085	221.7780967
168.8442211	221.5107945
169.3467337	221.217199
169.8492462	220.898106
170.3517588	220.5543131
170.8542714	220.1866203
171.3567839	219.7958295
171.8592965	219.3827444
172.361809	218.9481707
172.8643216	218.492916
173.3668342	218.01779
173.8693467	217.5236039
174.3718593	217.011171
174.8743719	216.4813063
175.3768844	215.9348265
175.879397	215.3725502
176.3819095	214.7952975
176.8844221	214.2038905
177.3869347	213.5991528
177.8894472	212.9819095
178.3919598	212.3529877
178.8944724	211.7132159
179.3969849	211.063424
179.8994975	210.4044438
180.4020101	209.7371084
180.9045226	209.0622526
181.4070352	208.3807125
181.9095477	207.6933258
182.4120603	207.0009316
182.9145729	206.3043706
183.4170854	205.6044847
183.919598	204.9021172
184.4221106	204.198113
184.9246231	203.4933181
185.4271357	202.78858
185.9296482	202.0847475
186.4321608	201.3826706
186.9346734	200.6832008
187.4371859	199.9871906
187.9396985	199.295494
188.4422111	198.608966
188.9447236	197.9284631
189.4472362	197.2548428
189.9497487	196.5889638
190.4522613	195.931686
190.9547739	195.2838705
191.4572864	194.6463795
191.959799	194.0200764
192.4623116	193.4058255
192.9648241	192.8044925
193.4673367	192.2169438
193.9698492	191.6440474
194.4723618	191.0866718
194.9748744	190.5456869
195.4773869	190.0219635
195.9798995	189.5163734
196.4824121	189.0297895
196.9849246	188.5630856
197.4874372	188.1171365
197.9899497	187.6928179
198.4924623	187.2910067
198.9949749	186.9125803
199.4974874	186.5584175
200	186.2293976
