max_level	ndof	nel	wallclock	cpu	err_u_max	err_u_avg	err_sigma_r_max	err_sigma_r_avg	err_sigma_t_max	err_sigma_t_avg
1	72	9	1.5714934	11.6875	0.0008304226917	0.0001398766767	6.811311473	0.9272549651	6.718516554	0.867501615
2	72	12	4.7365579	25.828125	0.0008361808567	0.0001495469608	6.782092644	0.9241152577	6.688163682	0.8588101352
3	174	54	11.0776684	55.125	0.0009752669937	0.0001575807812	3.345828276	0.2902771394	4.966296649	0.5065489859
