r	sigma
100	-176.0983389
100.5025126	-175.4855211
101.0050251	-174.8310407
101.5075377	-174.1365182
102.0100503	-173.4035374
102.5125628	-172.633647
103.0150754	-171.8283613
103.5175879	-170.9891613
104.0201005	-170.1174956
104.5226131	-169.2147814
105.0251256	-168.2824057
105.5276382	-167.3217256
106.0301508	-166.3340698
106.5326633	-165.3207388
107.0351759	-164.2830064
107.5376884	-163.2221198
108.040201	-162.139301
108.5427136	-161.0357469
109.0452261	-159.9126306
109.5477387	-158.7711017
110.0502513	-157.6122872
110.5527638	-156.437292
111.0552764	-155.2471996
111.5577889	-154.0430727
112.0603015	-152.8259539
112.5628141	-151.5605879
113.0653266	-150.2565697
113.5678392	-148.9410647
114.0703518	-147.6152471
114.5728643	-146.2802805
115.0753769	-144.937318
115.5778894	-143.5875024
116.080402	-142.2319663
116.5829146	-140.8718325
117.0854271	-139.5082142
117.5879397	-138.1422153
118.0904523	-136.7749302
118.5929648	-135.4074444
119.0954774	-134.0408345
119.5979899	-132.6761687
120.1005025	-131.3145063
120.6030151	-129.9568985
121.1055276	-128.6043885
121.6080402	-127.2580114
122.1105528	-125.9187944
122.6130653	-124.5877572
123.1155779	-123.2659121
123.6180905	-121.9542639
124.120603	-120.6538102
124.6231156	-119.3655417
125.1256281	-118.0904422
125.6281407	-116.8294886
126.1306533	-115.5836513
126.6331658	-114.3538942
127.1356784	-113.1411747
127.638191	-111.9464442
128.1407035	-110.7706477
128.6432161	-109.6147245
129.1457286	-108.4796078
129.6482412	-107.3662252
130.1507538	-106.2754984
130.6532663	-105.2083438
131.1557789	-104.1656722
131.6582915	-103.1483892
132.160804	-102.1573951
132.6633166	-101.193585
133.1658291	-100.2578491
133.6683417	-99.3440916
134.1708543	-98.43018276
134.6733668	-97.51457034
135.1758794	-96.59743063
135.678392	-95.67893613
136.1809045	-94.75925566
136.6834171	-93.8385544
137.1859296	-92.916994
137.6884422	-91.99473257
138.1909548	-91.07192484
138.6934673	-90.14872214
139.1959799	-89.22527249
139.6984925	-88.25472255
140.201005	-87.24444019
140.7035176	-86.2368035
141.2060302	-85.23222354
141.7085427	-84.23110575
142.2110553	-83.23384999
142.7135678	-82.24085067
143.2160804	-81.25249682
143.718593	-80.26917215
144.2211055	-79.29125519
144.7236181	-78.31911932
145.2261307	-77.35313287
145.7286432	-76.3936592
146.2311558	-75.4410568
146.7336683	-74.49567935
147.2361809	-73.55787582
147.7386935	-72.62799054
148.241206	-71.70636328
148.7437186	-70.79332935
149.2462312	-69.88921968
149.7487437	-68.9943609
150.2512563	-68.10907541
150.7537688	-67.2336815
151.2562814	-66.36849342
151.758794	-65.51382144
152.2613065	-64.66997199
152.7638191	-63.83724771
153.2663317	-63.01594755
153.7688442	-62.20636687
154.2713568	-61.40879751
154.7738693	-60.62352793
155.2763819	-59.85084325
155.7788945	-59.09102536
156.281407	-58.34435307
156.7839196	-57.61110212
157.2864322	-56.82811346
157.7889447	-55.97406619
158.2914573	-55.12343501
158.7939698	-54.27627513
159.2964824	-53.4326401
159.798995	-52.59258179
160.3015075	-51.75615047
160.8040201	-50.92339479
161.3065327	-50.09436183
161.8090452	-49.26909714
162.3115578	-48.44764472
162.8140704	-47.63004708
163.3165829	-46.81634524
163.8190955	-46.00657876
164.321608	-45.2007858
164.8241206	-44.39900305
165.3266332	-43.60126587
165.8291457	-42.80760819
166.3316583	-42.01806265
166.8341709	-41.23174609
167.3366834	-40.4370586
167.839196	-39.63117588
168.3417085	-38.81499467
168.8442211	-37.98941076
169.3467337	-37.15531898
169.8492462	-36.31361328
170.3517588	-35.46518665
170.8542714	-34.6109312
171.3567839	-33.75173818
171.8592965	-32.88849793
172.361809	-32.02209995
172.8643216	-31.15343289
173.3668342	-30.28338457
173.8693467	-29.41284199
174.3718593	-28.54269134
174.8743719	-27.67381798
175.3768844	-26.80710654
175.879397	-25.94344082
176.3819095	-25.08370389
176.8844221	-24.22877804
177.3869347	-23.37954485
177.8894472	-22.53688514
178.3919598	-21.70167901
178.8944724	-20.87480586
179.3969849	-20.05714438
179.8994975	-19.24957256
180.4020101	-18.45296771
180.9045226	-17.66820649
181.4070352	-16.89616487
181.9095477	-16.13771816
182.4120603	-15.39374106
182.9145729	-14.66510758
183.4170854	-13.95269115
183.919598	-13.25736456
184.4221106	-12.57999998
184.9246231	-11.921469
185.4271357	-11.28264258
185.9296482	-10.66439114
186.4321608	-10.06758448
186.9346734	-9.493091855
187.4371859	-8.941781936
187.9396985	-8.414522854
188.4422111	-7.912182185
188.9447236	-7.435626964
189.4472362	-6.985723693
189.9497487	-6.563338346
190.4522613	-6.169336379
190.9547739	-5.804582733
191.4572864	-5.469941842
191.959799	-5.166277641
192.4623116	-4.894453572
192.9648241	-4.655332591
193.4673367	-4.44977717
193.9698492	-4.278649311
194.4723618	-4.142810545
194.9748744	-4.043121942
195.4773869	-3.980444115
195.9798995	-3.955637226
196.4824121	-3.969560995
196.9849246	-4.0230747
197.4874372	-4.117037188
197.9899497	-4.252306877
198.4924623	-4.429741762
198.9949749	-4.650199423
199.4974874	-4.914537025
200	-5.223611329
