r	sigma
100	93.37958965
100.5025126	94.87185244
101.0050251	96.36077337
101.5075377	97.84476176
102.0100503	99.3222596
102.5125628	100.7893477
103.0150754	102.2292231
103.5175879	103.6610324
104.0201005	105.0835886
104.5226131	106.4957444
105.0251256	107.8963913
105.5276382	109.2844585
106.0301508	110.658912
106.5326633	112.0187541
107.0351759	113.3630221
107.5376884	114.6907875
108.040201	116.0011557
108.5427136	117.2875259
109.0452261	118.5529104
109.5477387	119.8199998
110.0502513	121.0876642
110.5527638	122.3547951
111.0552764	123.6203049
111.5577889	124.8831268
112.0603015	126.1422136
112.5628141	127.3965377
113.0653266	128.6450904
113.5678392	129.8868814
114.0703518	131.1209382
114.5728643	132.3463061
115.0753769	133.5620471
115.5778894	134.7672401
116.080402	135.9609801
116.5829146	137.1423778
117.0854271	138.3153409
117.5879397	139.4877818
118.0904523	140.6589994
118.5929648	141.8260393
119.0954774	142.9779256
119.5979899	144.1252705
120.1005025	145.2678813
120.6030151	146.4055835
121.1055276	147.538221
121.6080402	148.6656552
122.1105528	149.7877649
122.6130653	150.904446
123.1155779	152.015611
123.6180905	153.1211888
124.120603	154.2211242
124.6231156	155.3153777
125.1256281	156.4043045
125.6281407	157.4959724
126.1306533	158.5928655
126.6331658	159.6871707
127.1356784	160.7743327
127.638191	161.865957
128.1407035	162.9613781
128.6432161	164.059942
129.1457286	165.1610062
129.6482412	166.2639393
130.1507538	167.368121
130.6532663	168.4729418
131.1557789	169.5778031
131.6582915	170.6821167
132.160804	171.785305
132.6633166	172.8859384
133.1658291	173.9557853
133.6683417	175.0157527
134.1708543	176.0613241
134.6733668	177.0924285
135.1758794	178.1093468
135.678392	179.1123689
136.1809045	180.1017937
136.6834171	181.0779282
137.1859296	182.0410884
137.6884422	182.9915982
138.1909548	183.9297899
138.6934673	184.8560037
139.1959799	185.7705876
139.6984925	186.6738974
140.201005	187.5662964
140.7035176	188.4481555
141.2060302	189.3198527
141.7085427	190.1818444
142.2110553	191.0462285
142.7135678	191.9216329
143.2160804	192.80804
143.718593	193.705439
144.2211055	194.6138257
144.7236181	195.5332021
145.2261307	196.4635769
145.7286432	197.4049648
146.2311558	198.3573867
146.7336683	199.3208696
147.2361809	200.2954463
147.7386935	201.2811554
148.241206	202.2780415
148.7437186	203.2861543
149.2462312	204.3055497
149.7487437	205.3362884
150.2512563	206.3764377
150.7537688	207.4133282
151.2562814	208.4431295
151.758794	209.4639326
152.2613065	210.4312235
152.7638191	211.3727152
153.2663317	212.2956375
153.7688442	213.1996582
154.2713568	214.0844575
154.7738693	214.949727
155.2763819	215.7951698
155.7788945	216.6204998
156.281407	217.4254411
156.7839196	218.2097281
157.2864322	218.9731045
157.7889447	219.715323
158.2914573	220.4361449
158.7939698	221.1353398
159.2964824	221.8126847
159.798995	222.467964
160.3015075	223.1009689
160.8040201	223.7114967
161.3065327	224.2993509
161.8090452	224.8643401
162.3115578	225.4062783
162.8140704	225.839854
163.3165829	226.1372627
163.8190955	226.3811756
164.321608	226.5697867
164.8241206	226.701293
165.3266332	226.7738951
165.8291457	226.7857965
166.3316583	226.735204
166.8341709	226.6208034
167.3366834	226.4481579
167.839196	226.2210317
168.3417085	225.9415811
168.8442211	225.611965
169.3467337	225.2343451
169.8492462	224.8108855
170.3517588	224.3437533
170.8542714	223.8351178
171.3567839	223.2871512
171.8592965	222.702028
172.361809	222.0819252
172.8643216	221.4290222
173.3668342	220.745501
173.8693467	220.0335457
174.3718593	219.2953429
174.8743719	218.5330814
175.3768844	217.7489524
175.879397	216.9451492
176.3819095	216.1238673
176.8844221	215.2873046
177.3869347	214.4376608
177.8894472	213.5771379
178.3919598	212.70794
178.8944724	211.8322732
179.3969849	210.9523456
179.8994975	210.0703673
180.4020101	209.1885504
180.9045226	208.3091089
181.4070352	207.4342589
181.9095477	206.5662179
182.4120603	205.7072059
182.9145729	204.8594442
183.4170854	204.0254078
183.919598	203.2181373
184.4221106	202.4432142
184.9246231	201.6995498
185.4271357	200.9860554
185.9296482	200.3016428
186.4321608	199.6452238
186.9346734	199.0157106
187.4371859	198.4120156
187.9396985	197.8330515
188.4422111	197.2777311
188.9447236	196.7449676
189.4472362	196.2336742
189.9497487	195.7427646
190.4522613	195.2711524
190.9547739	194.8177518
191.4572864	194.3814768
191.959799	193.961242
192.4623116	193.555962
192.9648241	193.1645515
193.4673367	192.7859257
193.9698492	192.4189997
194.4723618	192.0626891
194.9748744	191.7159095
195.4773869	191.3775766
195.9798995	191.0466066
196.4824121	190.7219156
196.9849246	190.40242
197.4874372	190.0870365
197.9899497	189.7746817
198.4924623	189.4642727
198.9949749	189.1547265
199.4974874	188.8449604
200	188.533892
