r	hill	L2	QI	QI_C0
100	100	93.79976082	94.68661272	93.48050323
101.010101	97.62392	91.5075721	92.30903431	90.95752109
102.020202	95.341012	89.3106611	90.03960236	88.6255117
103.030303	93.14675351	87.20902782	87.87831688	86.48447507
104.040404	91.03688295	85.20267226	85.82517787	84.53441118
105.0505051	89.00738223	83.29159443	83.88018532	82.77532004
106.0606061	87.05446064	81.47579432	82.04333923	81.20720165
107.0707071	85.17454006	79.75164536	80.31002277	79.55811063
108.0808081	83.36424109	78.0856017	78.6375301	77.65781886
109.0909091	81.62037037	76.46950354	77.01547334	75.89956352
110.1010101	79.93990868	74.9033509	75.44385247	74.28334463
111.1111111	78.32	73.38714375	73.92266751	72.80916216
112.1212121	76.75794129	71.92088211	72.45191844	71.47701614
113.1313131	75.25117301	70.50456598	71.03160527	70.28690655
114.1414141	73.79727035	69.13662133	69.65935537	68.83565071
115.1515152	72.39393498	67.81380175	68.33027518	67.39328671
116.1616162	71.03898743	66.53600887	67.0442164	66.0570159
117.1717172	69.73036	65.30324269	65.80117905	64.82683828
118.1818182	68.46609012	64.11550321	64.60116312	63.70275383
119.1919192	67.24431417	62.97279042	63.44416861	62.68476258
120.2020202	66.06326169	61.87482201	62.32998311	61.69851644
121.2121212	64.92125	60.81228143	61.25159742	60.50552556
122.2222222	63.81667919	59.78065157	60.20561311	59.39288514
123.2323232	62.74802737	58.77993243	59.19203019	58.36059516
124.2424242	61.71384629	57.810124	58.21084866	57.40865564
125.2525253	60.71275721	56.87122628	57.26206851	56.53706656
126.2626263	59.74344704	55.96323928	56.34568975	55.74582794
127.2727273	58.80466472	55.08512176	55.46037205	54.86298631
128.2828283	57.89521784	54.23259306	54.60060518	53.93097173
129.2929293	57.01396942	53.40519041	53.76579345	53.0606979
130.3030303	56.15983498	52.60291381	52.95593684	52.25216481
131.3131313	55.3317797	51.82576325	52.17103537	51.50537247
132.3232323	54.52881578	51.07373874	51.41108903	50.82032087
133.3333333	53.75	50.34684028	50.67609783	50.19701002
134.3434343	52.99443136	49.64200669	49.96329205	49.41127451
135.3535354	52.26124889	48.95617679	49.26990199	48.67360564
136.3636364	51.54962963	48.28935059	48.59592766	47.98400341
137.3737374	50.85878664	47.64152808	47.94136905	47.34246783
138.3838384	50.18796719	47.01270926	47.30622617	46.74899888
139.3939394	49.53645106	46.40289413	46.69049901	46.20359658
140.4040404	48.90354887	45.81177985	46.09385858	45.63739299
141.4141414	48.28860058	45.23656504	45.51326159	45.00882147
142.4242424	47.69097406	44.67656828	44.9479678	44.41812704
143.4343434	47.11006368	44.13178957	44.39797721	43.86530971
144.4444444	46.54528903	43.60222891	43.86328982	43.35036948
145.4545455	45.99609375	43.08788631	43.34390563	42.87330635
146.4646465	45.46194432	42.58876176	42.83982463	42.43412031
147.4747475	44.942329	42.10383428	42.35005079	41.92253457
148.4848485	44.43675679	41.63099807	41.87252976	41.41432654
149.4949495	43.94475648	41.17018932	41.40719929	40.93629539
150.5050505	43.46587568	40.72140804	40.95405939	40.48844112
151.5151515	42.99968	40.28465422	40.51311004	40.07076374
152.5252525	42.54575218	39.85992786	40.08435126	39.68326324
153.5353535	42.10369132	39.44718296	39.66773544	39.30424619
154.5454545	41.67311215	39.04490145	39.26169169	38.86509762
155.5555556	41.25364431	38.65234728	38.8654584	38.45023477
156.5656566	40.84493169	38.26952046	38.47903555	38.05965764
157.5757576	40.44663177	37.89642098	38.10242315	37.69336625
158.5858586	40.05841505	37.53304884	37.7356212	37.35136059
159.5959596	39.67996447	37.17940405	37.37862969	37.03364065
160.6060606	39.31097483	36.83515344	37.03111716	36.68706704
161.6161616	38.95115234	36.4989273	36.69172084	36.32570633
162.6262626	38.60021408	36.17057756	36.36029341	35.98407318
163.6363636	38.25788752	35.85010423	36.03683488	35.66216759
164.6464646	37.92391012	35.53750729	35.72134524	35.35998955
165.6565657	37.5980289	35.23278676	35.4138245	35.07753906
166.6666667	37.28	34.93594263	35.11427265	34.81481613
167.6767677	36.96958833	34.64627913	34.82196999	34.49892392
