r	sigma
100	-68.99535606
101.010101	-68.12523419
102.020202	-66.98795906
103.030303	-65.58353066
104.040404	-63.91194899
105.0505051	-61.97321406
106.0606061	-59.76732585
107.0707071	-57.29428438
108.0808081	-54.55408963
109.0909091	-51.54674162
110.1010101	-48.27224034
111.1111111	-44.73058579
112.1212121	-40.92177797
113.1313131	-36.84581688
114.1414141	-32.50270253
115.1515152	-27.8924349
116.1616162	-23.01501401
117.1717172	-17.91831097
118.1818182	-12.88955247
119.1919192	-7.976609628
120.2020202	-3.179482451
121.2121212	1.501829064
122.2222222	6.067324919
123.2323232	10.51700511
124.2424242	14.85086964
125.2525253	19.06891851
126.2626263	23.17115172
127.2727273	27.15756927
128.2828283	31.02817115
129.2929293	34.78295738
130.3030303	38.42192794
131.3131313	41.94508284
132.3232323	45.35242208
133.3333333	48.64394566
134.3434343	51.87807655
135.3535354	55.11323772
136.3636364	58.34942918
137.3737374	61.58665093
138.3838384	64.82490296
139.3939394	68.06418527
140.4040404	71.30449787
141.4141414	74.54584076
142.4242424	77.78821393
143.4343434	81.03161738
144.4444444	84.27605113
145.4545455	87.52151515
146.4646465	90.76800946
147.4747475	94.01553406
148.4848485	97.26408894
149.4949495	100.5136741
150.5050505	103.764464
151.5151515	107.0175049
152.5252525	110.2729712
153.5353535	113.530863
154.5454545	116.7911802
155.5555556	120.0539229
156.5656566	123.319091
157.5757576	126.5866846
158.5858586	129.8567036
159.5959596	133.1291481
160.6060606	136.404018
161.6161616	139.6813134
162.6262626	142.9610342
163.6363636	146.2431804
164.6464646	149.5277521
165.6565657	152.8147493
166.6666667	156.1041719
167.6767677	159.3456601
168.6868687	162.4888541
169.6969697	165.5337539
170.7070707	168.4803594
171.7171717	171.3286708
172.7272727	174.0786879
173.7373737	176.7304108
174.7474747	179.2838395
175.7575758	181.738974
176.7676768	184.0958143
177.7777778	186.3543603
178.7878788	188.5146121
179.7979798	190.5765698
180.8080808	192.5402332
181.8181818	194.4056024
182.8282828	196.1726773
183.8383838	197.8169617
184.8484848	199.1914771
185.8585859	200.2717271
186.8686869	201.0577118
187.8787879	201.5494311
188.8888889	201.746885
189.8989899	201.6500736
190.9090909	201.2589968
191.9191919	200.5736547
192.9292929	199.5940472
193.9393939	198.3201743
194.9494949	196.7520361
195.959596	194.8896325
196.969697	192.7329635
197.979798	190.2820292
198.989899	187.5368295
200	184.4973645
