method_idx	err_u_max	err_u_avg	err_sr_max	err_sr_avg	err_st_max	err_st_avg	wall	ndof	nel
1	0.0001485338296	8.288542816e-05	18.91691416	2.606283479	19.68464394	3.44866086	10.6468627	384	31
2	0.0005560651094	0.0002780336478	46.6576792	4.88941167	47.42394776	5.980823404	18.3718187	384	45
3	0.001345500521	0.0004077300442	69.74228307	7.89704413	69.69923721	6.242360165	19.1115554	384	24
