r	sigma
100	33.3427878
101.010101	30.56506353
102.020202	27.97723547
103.030303	25.57930362
104.040404	23.37126798
105.0505051	21.35312855
106.0606061	19.52488534
107.0707071	17.88653833
108.0808081	16.43808754
109.0909091	15.17953296
110.1010101	14.11087458
111.1111111	13.23211243
112.1212121	12.54324648
113.1313131	12.04427674
114.1414141	11.73520321
115.1515152	11.6160259
116.1616162	11.68674479
117.1717172	11.9473599
118.1818182	12.39787122
119.1919192	13.03827875
120.2020202	13.86858249
121.2121212	14.88878244
122.2222222	16.0988786
123.2323232	17.49887098
124.2424242	19.08875956
125.2525253	20.86854436
126.2626263	22.83822537
127.2727273	24.99780258
128.2828283	27.34727601
129.2929293	29.88664566
130.3030303	32.61591151
131.3131313	35.53507357
132.3232323	38.64413185
133.3333333	41.94308633
134.3434343	45.36252366
135.3535354	48.83303045
136.3636364	52.35460671
137.3737374	55.92725244
138.3838384	59.55096763
139.3939394	63.22575229
140.4040404	66.95160642
141.4141414	70.72853002
142.4242424	74.55652309
143.4343434	78.43558562
144.4444444	82.36571762
145.4545455	86.34691909
146.4646465	90.37919002
147.4747475	94.46253043
148.4848485	98.5969403
149.4949495	102.7824196
150.5050505	107.0189684
151.5151515	111.3065867
152.5252525	115.6452745
153.5353535	120.0350317
154.5454545	124.4758583
155.5555556	128.9677545
156.5656566	133.5107201
157.5757576	138.1047552
158.5858586	142.7498597
159.5959596	147.4460337
160.6060606	152.1932772
161.6161616	156.9915902
162.6262626	161.8409726
163.6363636	166.7414245
164.6464646	171.6929458
165.6565657	176.6955366
166.6666667	181.7491969
167.6767677	186.6739887
168.6868687	191.2899741
169.6969697	195.5971531
170.7070707	199.5955257
171.7171717	203.2850918
172.7272727	206.6658516
173.7373737	209.7378049
174.7474747	212.5009518
175.7575758	214.9552923
176.7676768	217.1008264
177.7777778	218.937554
178.7878788	220.4654753
179.7979798	221.6845901
180.8080808	222.5948985
181.8181818	223.1964005
182.8282828	223.4890961
183.8383838	223.4729853
184.8484848	223.1480681
185.8585859	222.5143444
186.8686869	221.5718143
187.8787879	220.3204779
188.8888889	218.760335
189.8989899	216.8913856
190.9090909	214.7136299
191.9191919	212.2270678
192.9292929	209.4316992
193.9393939	206.3275242
194.9494949	202.9145429
195.959596	199.192755
196.969697	195.1621608
197.979798	190.8227602
198.989899	186.1745531
200	181.2175397
