max_level	ndof	nel	wallclock	cpu	err_u_max	err_u_avg	err_sigma_r_max	err_sigma_r_avg	err_sigma_t_max	err_sigma_t_avg
1	135	3	1.4969095	10.609375	0.004239356714	0.001056580081	118.632159	12.22462295	117.6337225	13.35184668
2	135	3	5.324503	35.046875	0.001328686164	0.0004281390593	124.500594	18.80320623	122.0227878	14.098935
3	384	45	18.0739024	126.890625	0.0005560651094	0.0002780336478	46.6576792	4.88941167	47.42394776	5.980823404
4	867	129	106.0128091	824.140625	0.005581770359	0.001213868859	55.83757616	3.613295724	51.33334794	4.154976087
