u	P
0.009390857143	65.736
0.01878171429	131.472
0.03054452876	197.208
0.05300716196	262.944
0.126721429	328.68
0.1280014434	329.0080393
0.1292814578	329.3200778
0.1305614723	329.6164308
0.1318414867	329.8974044
0.1331215012	330.1632957
0.1344015156	330.4143934
0.13568153	330.650978
0.1369615445	330.873322
0.1382415589	331.0816904
0.1395215733	331.2763408
0.1408015878	331.4575237
0.1420816022	331.625483
0.1433616166	331.7804557
0.1446416311	331.9226729
0.1459216455	332.0523592
0.1472016599	332.1697336
0.1484816744	332.2750092
0.1497616888	332.3683937
0.1510417032	332.4500896
0.1523217177	332.5202942
0.1536017321	332.5791997
0.1548817465	332.6269937
0.156161761	332.6638592
0.1574417754	332.6899744
0.1587217898	332.7055136
0.1600018043	332.7106467
0.1612818187	332.7106467
0.1625618331	332.7106467
0.1638418476	332.7106467
0.165121862	332.7106467
0.1664018764	332.7106467
0.1676818909	332.7106467
0.1689619053	332.7106467
0.1702419197	332.7106467
0.1715219342	332.7106467
0.1728019486	332.7106467
0.174081963	332.7106467
0.1753619775	332.7106467
0.1766419919	332.7106467
0.1779220063	332.7106467
0.1792020208	332.7106467
0.1804820352	332.7106467
0.1817620496	332.7106467
0.1830420641	332.7106467
0.1843220785	332.7106467
0.185602093	332.7106467
0.1868821074	332.7106467
0.1881621218	332.7106467
0.1894421363	332.7106467
0.1907221507	332.7106467
0.1920021651	332.7106467
0.1932821796	332.7106467
0.194562194	332.7106467
0.1958422084	332.7106467
0.1971222229	332.7106467
0.1984022373	332.7106467
0.1996822517	332.7106467
0.2009622662	332.7106467
0.2022422806	332.7106467
0.203522295	332.7106467
0.2048023095	332.7106467
0.2060823239	332.7106467
0.2073623383	332.7106467
0.2086423528	332.7106467
0.2099223672	332.7106467
0.2112023816	332.7106467
0.2124823961	332.7106467
0.2137624105	332.7106467
0.2150424249	332.7106467
0.2163224394	332.7106467
0.2176024538	332.7106467
0.2188824682	332.7106467
0.2201624827	332.7106467
0.2214424971	332.7106467
0.2227225115	332.7106467
0.224002526	332.7106467
0.2252825404	332.7106467
0.2265625548	332.7106467
0.2278425693	332.7106467
0.2291225837	332.7106467
0.2304025981	332.7106467
0.2316826126	332.7106467
0.232962627	332.7106467
0.2342426414	332.7106467
0.2355226559	332.7106467
0.2368026703	332.7106467
0.2380826848	332.7106467
0.2393626992	332.7106467
0.2406427136	332.7106467
0.2419227281	332.7106467
0.2432027425	332.7106467
0.2444827569	332.7106467
0.2457627714	332.7106467
0.2470427858	332.7106467
0.2483228002	332.7106467
0.2496028147	332.7106467
0.2508828291	332.7106467
0.2521628435	332.7106467
0.253442858	332.7106467
