estimator,method,ndof,nel,nlevels,wall_s,cpu_s,err_u_max,err_u_avg,err_sr_max,err_sr_avg,err_st_max,err_st_avg
div_sigma,L2,384,24,2,12.560,68.156,1.384e-03,4.495e-04,1.575e+01,2.028e+00,1.548e+01,3.827e+00
div_sigma,QI,384,24,2,21.897,169.594,5.385e-04,2.891e-04,5.684e+01,5.102e+00,7.295e+01,5.843e+00
div_sigma,QI_C0,384,24,2,19.139,159.703,4.118e-04,2.061e-04,7.473e+01,7.677e+00,7.554e+01,6.718e+00
stress_gradient,L2,384,31,3,10.647,59.250,1.485e-04,8.289e-05,1.892e+01,2.606e+00,1.968e+01,3.449e+00
stress_gradient,QI,384,45,3,18.372,152.891,5.561e-04,2.780e-04,4.666e+01,4.889e+00,4.742e+01,5.981e+00
stress_gradient,QI_C0,384,24,2,19.112,162.953,1.346e-03,4.077e-04,6.974e+01,7.897e+00,6.970e+01,6.242e+00
