method,max_level,ndof_final,nel_final,nlevels_final,wallclock_s,cpu_s,err_u_max,err_u_avg,err_sigma_r_max,err_sigma_r_avg,err_sigma_t_max,err_sigma_t_avg
L2,1,72,9,1,2.353,4.500,1.273e-03,1.699e-04,6.975e+00,8.262e-01,8.652e+00,1.024e+00
L2,2,72,12,2,4.188,10.125,1.644e-03,2.945e-04,6.756e+00,7.984e-01,8.779e+00,1.046e+00
L2,3,174,54,3,6.889,17.875,1.113e-03,1.972e-04,1.798e+00,2.764e-01,5.997e+00,5.844e-01
QI,1,72,9,1,1.551,12.219,4.935e-04,1.414e-04,6.874e+00,9.680e-01,8.694e+00,8.613e-01
QI,2,72,12,2,3.788,23.328,1.101e-03,3.033e-04,6.363e+00,8.987e-01,9.549e+00,9.010e-01
QI,3,174,54,3,10.350,55.844,1.358e-03,1.807e-04,1.723e+00,2.828e-01,5.074e+00,5.454e-01
QI_C0,1,72,9,1,1.571,11.688,8.304e-04,1.399e-04,6.811e+00,9.273e-01,6.719e+00,8.675e-01
QI_C0,2,72,12,2,4.737,25.828,8.362e-04,1.495e-04,6.782e+00,9.241e-01,6.688e+00,8.588e-01
QI_C0,3,174,54,3,11.078,55.125,9.753e-04,1.576e-04,3.346e+00,2.903e-01,4.966e+00,5.065e-01
